"start_station_name","start_lat","start_lng","total_trips"
Walsh Park,41.9145802885773,-87.66796273529944,7679
Southport Ave & Irving Park Rd,41.95415649315206,-87.66431938532637,7639
Larrabee St & Oak St,41.900232712560886,-87.64298840884534,7596
Damen Ave & Thomas St (Augusta Blvd),41.90133124908699,-87.67742996984856,7589
Racine Ave & Wrightwood Ave,41.928895544315004,-87.65898046028859,7575
Lincoln Ave & Belmont Ave (Temp),41.939490762946356,-87.67108971573748,7569
Lake Park Ave & 56th St,41.79325233299692,-87.58779166887699,7514
Ada St & Washington Blvd,41.8828350746237,-87.66119204998475,7469
Fairbanks St & Superior St,41.895762773949805,-87.62012894772776,7458
Broadway & Berwyn Ave,41.9783402345188,-87.65975649640333,7451
Cornell Ave & Hyde Park Blvd,41.802416511399535,-87.58690523897158,7444
Western Ave & Leland Ave,41.96641988976181,-87.68869415882315,7407
Noble St & Milwaukee Ave,41.90068939794921,-87.66260398113319,7366
Michigan Ave & Ida B Wells Dr,41.87622982773449,-87.62443671984525,7356
Clybourn Ave & Division St,41.90459707878862,-87.640567873498,7355
State St & Pearson St,41.8974425315792,-87.62873672594198,7321
State St & Harrison St,41.87402828308543,-87.6277109243681,7272
Buckingham Fountain,41.87608986987996,-87.62053574794112,7041
Broadway & Thorndale Ave,41.989754125470554,-87.66013750779842,6949
Western Ave & Walton St,41.89842825054181,-87.6865967945947,6915
Larrabee St & North Ave,41.91015529924397,-87.6435429924146,6908
Wood St & Chicago Ave,41.89562534703096,-87.67208655281756,6883
Ashland Ave & Grace St,41.95068373272344,-87.6686987257571,6837
Canal St & Taylor St,41.87022107945049,-87.63946772140619,6804
Clarendon Ave & Leland Ave,41.96792998296144,-87.65002262105843,6747
Lincoln Ave & Roscoe St*,41.94334537446031,-87.67072320317443,6719
Greenview Ave & Diversey Pkwy,41.93260055361374,-87.66594419825145,6711
Marine Dr & Ainslie St,41.971584040447844,-87.65018447552858,6705
Ashland Ave & Augusta Blvd,41.899610084124035,-87.66799914973122,6681
Lake Park Ave & 53rd St,41.79954164682212,-87.58644615590224,6651
Racine Ave & 18th St,41.85819179530536,-87.65648148548225,6639
Delano Ct & Roosevelt Rd,41.86749152658724,-87.63219632574842,6630
Broadway & Ridge Ave,41.984047043286004,-87.66027417549071,6542
Clark St & Montrose Ave,41.96155738002084,-87.66613138107672,6511
Clark St & Ida B Wells Dr,41.875948406421564,-87.63068140424849,6504
Ashland Ave & Wellington Ave,41.93606635311488,-87.66983790990632,6502
Leavitt St & North Ave,41.910347374507786,-87.68235960630918,6456
Broadway & Granville Ave,41.99477094439005,-87.66030796740857,6400
N Green St & W Lake St,41.88985353710433,-87.64994714856326,6378
Wood St & Taylor St (Temp),41.86932655648307,-87.67373476261223,6317
Emerald Ave & 31st St,41.838224318655286,-87.64513548351457,6251
Loomis St & Jackson Blvd,41.877945374195654,-87.66199631066867,6198
McCormick Place,41.851425605403406,-87.61884916220008,6129
Winthrop Ave & Lawrence Ave,41.9687898421846,-87.65764215574501,6119
Sheridan Rd & Lawrence Ave,41.96950800569971,-87.65470653350538,6087
Dearborn St & Van Buren St,41.876261289506985,-87.6292499014866,6064
Cannon Dr & Fullerton Ave,41.92674011228715,-87.63444253388661,6048
Green St & Washington Blvd,41.88319918719692,-87.64874874532404,5982
Seeley Ave & Roscoe St,41.94337801196192,-87.67963628016527,5922
Hermitage Ave & Polk St,41.87151672039344,-87.6698981790064,5853
California Ave & Cortez St,41.90037775284893,-87.69669163341001,5838
Harper Ave & 59th St,41.787944899821014,-87.58831045982365,5806
Rhodes Ave & 32nd St,41.836457686330206,-87.61347181593806,5797
Morgan St & Lake St*,41.88549701818156,-87.65231417191424,5783
Ashland Ave & Chicago Ave,41.89551134593954,-87.66769879838917,5739
Broadway & Wilson - Truman College Vaccination Site,41.96520973200921,-87.65822141602649,5666
Campbell Ave & North Ave,41.91053021032447,-87.68955550401434,5655
Lincoln Ave & Sunnyside Ave,41.96301839713124,-87.68480120972484,5629
Blue Island Ave & 18th St,41.85751079940263,-87.66157641731567,5598
Larrabee St & Menomonee St,41.9146756759464,-87.64334550841845,5560
Sheridan Rd & Noyes St (NU),42.0582144556118,-87.67744347128077,5546
Ashland Ave & Wrightwood Ave,41.92882830104444,-87.66852771752592,5508
Logan Blvd & Elston Ave,41.92945671294267,-87.6841694608937,5506
Wood St & Augusta Blvd,41.89917130539981,-87.67218905800028,5505
Western Ave & Fillmore St,41.868598634844766,-87.68624001641487,5498
Damen Ave & Charleston St,41.92006636592172,-87.6779014670348,5481
Racine Ave & Washington Blvd,41.88308232839904,-87.6569914697647,5453
Damen Ave & Grand Ave,41.89245310994958,-87.67691699705169,5449
Orleans St & Elm St,41.90291162920269,-87.63772372228016,5431
Ellis Ave & 53rd St,41.79934761745021,-87.60096695733387,5421
Lincoln Ave & Belle Plaine Ave,41.955967719940595,-87.68018961344879,5393
Damen Ave & Leland Ave,41.96708402110589,-87.6790546202145,5381
Ashland Ave & Grand Ave,41.891076170498444,-87.66664752882969,5380
Wolcott (Ravenswood) Ave & Montrose Ave,41.96138195202522,-87.6762119003031,5375
Racine Ave & Randolph St,41.88407903659118,-87.65689618247818,5371
Ravenswood Ave & Irving Park Rd,41.954652063853295,-87.67390435798436,5340
Clark St & 9th St (AMLI),41.87081128507342,-87.63120283545427,5335
State St & 35th St,41.83104802683976,-87.6268508399487,5320
Morgan St & 18th St,41.85812604875053,-87.6511017372648,5292
Western Ave & Division St,41.90290149774789,-87.68732237731831,5219
Leavitt St & Armitage Ave,41.917779350069345,-87.68245758064484,5180
Ashland Ave & Lake St,41.88592969153704,-87.66716954378994,5174
Benson Ave & Church St,42.04822132209293,-87.68347794454388,5007
Morgan Ave & 14th Pl,41.86239925836461,-87.65109778292195,4915
Albany Ave & Bloomingdale Ave,41.91401214534752,-87.70514151760223,4913
Damen Ave & Wellington Ave,41.93588238127989,-87.6784264318923,4782
Broadway & Wilson Ave,41.965216266147955,-87.65823463375996,4757
Spaulding Ave & Armitage Ave,41.91709052996548,-87.71023606577036,4729
Sheridan Rd & Argyle St,41.97329232502787,-87.654720977722,4690
Leavitt St & Division St,41.90299796012274,-87.68379138293076,4689
Humboldt Blvd & Armitage Ave,41.91752188806617,-87.70181473667134,4686
Leavitt St & Chicago Ave,41.895484194249086,-87.68198096445846,4675
LaSalle St & Adams St,41.87940150463968,-87.63196266195001,4669
Shields Ave & 31st St,41.83845065787631,-87.6353933264306,4599
Paulina St & 18th St,41.857912631660184,-87.66868155541397,4563
Blackstone Ave & Hyde Park Blvd,41.802592084815615,-87.59038010704518,4432
Morgan St & Lake St,41.885807457996265,-87.65104013867084,4399
Lincoln Ave & Waveland Ave,41.94878172042313,-87.67525953433238,4328
Clinton St & Tilden St,41.87587532342675,-87.64076113296123,4322
Damen Ave & Clybourn Ave,41.93191395578316,-87.67782300935863,4305
Milwaukee Ave & Rockwell St,41.92023255447639,-87.69267172926106,4262
California Ave & North Ave,41.910449624498014,-87.69696179599994,4262
Indiana Ave & 31st St,41.83882130848322,-87.6218596031339,4248
Damen Ave & Foster Ave,41.9756248195328,-87.6794560483937,4219
Chicago Ave & Sheridan Rd,42.050488022612356,-87.67781924453563,4218
Museum of Science and Industry,41.79173693627629,-87.58394783545442,4201
Wood St & Hubbard St,41.88988394475918,-87.67147956481423,4196
Sheridan Rd & Loyola Ave,42.00107936081179,-87.66123042222662,4162
Glenwood Ave & Morse Ave,42.007967535118446,-87.6654807343681,4115
Stave St & Armitage Ave,41.91774182432624,-87.69143955169835,4075
Calumet Ave & 21st St,41.85417026327011,-87.61918489766511,4050
Sedgwick St & Schiller St,41.90762764851934,-87.63853666618877,4036
Leavitt St & Belmont Ave,41.9393612789459,-87.68326104523184,3955
California Ave & Francis Pl (Temp),41.91852842730014,-87.69742729113133,3865
Ravenswood Ave & Berteau Ave,41.957893052477765,-87.67357897444924,3862
California Ave & Division St,41.90302905491706,-87.69749719458991,3846
Paulina St & Montrose Ave,41.96149708484863,-87.67141691245791,3832
Damen Ave & Sunnyside Ave,41.96324664435564,-87.67927768065154,3822
Kedzie Ave & Palmer Ct,41.92151615571875,-87.70731801240714,3753
Artesian Ave & Hubbard St,41.889543622098536,-87.68814129249108,3723
Damen Ave & Melrose Ave,41.9405439735316,-87.6785541126915,3648
Ashland Ave & 13th St,41.86524926206063,-87.66650592838349,3644
Lincoln Ave & Addison St,41.94616461273174,-87.67329993696299,3579
Halsted St & 18th St,41.85751789701294,-87.64604147230325,3552
Western Ave & Roscoe St,41.94304488219508,-87.68727963500693,3511
California Ave & Altgeld St,41.926657952293155,-87.69767799529617,3496
Western Ave & Congress Pkwy,41.87472297317749,-87.68644421605005,3441
Ogden Ave & Congress Pkwy,41.875007981325055,-87.67324896877815,3374
Wilton Ave & Diversey Pkwy*,41.932426217366064,-87.65271356063217,3359
Morgan St & 31st St,41.83778826082977,-87.65115560833812,3344
Clark St & Elmdale Ave,41.99075795199972,-87.66973967858173,3330
Wentworth Ave & 33rd St,41.83458382627083,-87.63189865195127,3329
Winchester Ave & Elston Ave,41.92407520771018,-87.67645177444359,3326
Wabash Ave & Cermak Rd,41.85261635477973,-87.62652520067321,3325
Southport Ave & Clark St,41.9570896741191,-87.66419975006772,3324
Racine Ave & Fullerton Ave (Temp),41.92516774505835,-87.65726512827035,3309
Talman Ave & Addison St,41.94663910958787,-87.69461206679104,3291
Greenview Ave & Jarvis Ave,42.015969065599705,-87.6685906509412,3224
St. Louis Ave & Fullerton Ave,41.924837290793555,-87.7144955464211,3219
